WMOID STATION NAME                   YEAR MONTHS OF DATA AVAILABLE
96465 LABUAN                         2000 12
96491 SANDAKAN                       2004 12
96491 SANDAKAN                       2000 12
96745 JAKARTA OBS, JAW               1998 12
96745 JAKARTA OBS, JAW               1997 12
96805 CILACAP, JAW                   2000 12
96996 COCOS ISLAND AMO CCK           2001 12
96996 COCOS ISLAND AMO CCK           1998 12
97690 JAYAPURA/SENTANI               1996 12
98232 APARRI                         2003 12
98232 APARRI                         2000 12
89512 NOVOLAZAREVSKAYA               2004 12
89564 MAWSON                         1997 12
89592 MIRNYJ                         1997 12
89606 VOSTOK                         2001 12
89606 VOSTOK                         1999 12
89642 DUMONT D'URVILLE               1996 12
91554 PEKOA AIRPORT                  2004 12
91577 KOUMAC                         2005 5
91577 KOUMAC                         2004 12
91592 NOUMEA                         2005 5
91610 TARAWA                         1995 1
91643 FUNAFUTI                       2005 5
91650 ROTUMA                         1997 12
91680 NANDI                          2001 12
91699 ONO-I-LAU                      2003 12
91753 HIHIFO                         2004 12
91765 TAFUNA AP TUTUILA              2003 12
91843 RAROTONGA                      2002 12
91938 TAHITI-FAAA                    2001 12
91938 TAHITI-FAAA                    1998 12
91948 RIKITEA                        2001 12
91958 RAPA                           2005 5
91958 RAPA                           1996 12
91958 RAPA                           1995 1
92044 MOMOTE MO                      1997 12
92044 MOMOTE MO                      1996 12
93012 KAITAIA                        1996 12
93309 NEW PLYMOUTH AWS               1998 12
93987 CHATHAM ISLAND                 1997 12
93994 RAOUL ISLKERMADEC              2004 12
93994 RAOUL ISLKERMADEC              2000 12
93994 RAOUL ISLKERMADEC              1999 12
93994 RAOUL ISLKERMADEC              1995 1
94120 DARWIN AIRPORT                 1997 12
94150 GOVE AIRPORT                   2001 12
94170 WEIPA AMO                      1998 12
94203 BROOME AIRPORT                 2000 12
94203 BROOME AIRPORT                 1999 12
94203 BROOME AIRPORT                 1996 12
94212 HALLS CREEK                    2001 12
94238 TENNANT CREEK                  2004 12
94238 TENNANT CREEK                  2003 12
94238 TENNANT CREEK                  1997 12
94300 CARNARVON AIRPORT              2000 12
94302 LEARMONTH AIR                  2005 5
94326 ALICE SPRINGS                  2004 12
86440 MELO                           2003 12
86440 MELO                           1998 12
86440 MELO                           1996 12
86490 MERCEDES                       2001 12
86490 MERCEDES                       2000 12
86490 MERCEDES                       1996 12
86565 ROCHA                          1997 12
87047 SALTA AE                       2001 12
87047 SALTA AE                       2000 12
87047 SALTA AE                       1996 12
87065 RIVADAVIA                      1997 12
87078 LAS LOMITAS                    2004 12
87078 LAS LOMITAS                    1998 12
87129 SANTIAGO DEL ESTERO            2005 5
87155 RESISTENCIA AERO               2000 12
87217 LA RIOJA AE                    2004 12
87217 LA RIOJA AE                    2003 12
87305 JACHAL                         2005 5
87305 JACHAL                         2002 12
87305 JACHAL                         1999 12
87344 CORDOBA AE                     2005 5
87344 CORDOBA AE                     1995 1
87374 PARANA AE                      2003 12
87374 PARANA AE                      1999 12
87418 MENDOZA AE                     2005 5
87534 LABOULAYE                      2005 5
87534 LABOULAYE                      2000 12
87534 LABOULAYE                      1999 12
87534 LABOULAYE                      1996 12
87544 PEHUAJO AERO                   2005 5
87544 PEHUAJO AERO                   1997 12
87623 SANTA ROSA AERO                1995 1
87692 MAR DEL PLATA                  2005 5
87715 NEUQUEN                        1996 12
87750 BAHIA BLANCA                   2001 12
87750 BAHIA BLANCA                   2000 12
87750 BAHIA BLANCA                   1995 1
87803 ESQUEL AE                      1999 12
87803 ESQUEL AE                      1996 12
87803 ESQUEL AE                      1995 1
87828 TRELEW AE                      2005 5
87828 TRELEW AE                      2003 12
87860 COMODORO RIVADAVIA             2000 12
87860 COMODORO RIVADAVIA             1999 12
87925 RIO GALLEGOS                   2000 12
88963 BASE ESPERANZA                 2005 5
88963 BASE ESPERANZA                 1999 12
88968 BASE ORCADAS                   2004 12
89002 NEUMAYER                       2002 12
89002 NEUMAYER                       2001 12
89002 NEUMAYER                       1998 12
89022 HALLEY                         2001 12
89050 BELLINGSHAUSEN                 2005 5
89050 BELLINGSHAUSEN                 1998 12
89050 BELLINGSHAUSEN                 1996 12
89055 BASE MARAMBIO (CENTRO MET. ANT 1999 12
89055 BASE MARAMBIO (CENTRO MET. ANT 1995 1
89056 PRESIDENTE EDUARDO FREI        2004 12
89056 PRESIDENTE EDUARDO FREI        1997 12
89063 VERNADSKY                      1997 12
85043 RIBERALTA                      2000 12
85043 RIBERALTA                      1997 12
85141 RURRENABAQUE                   2000 12
85406 ARICA                          1997 12
85406 ARICA                          1996 12
85488 LA SERENA                      1998 12
85629 CURICO                         2002 12
85743 TEMUCO                         2002 12
85743 TEMUCO                         1999 12
85743 TEMUCO                         1995 1
85799 PUERTO MONTT                   2003 12
85799 PUERTO MONTT                   2000 12
85799 PUERTO MONTT                   1996 12
85874 BALMACEDA                      1996 12
86297 ENCARNACION                    2004 12
86297 ENCARNACION                    2001 12
86330 ARTIGAS                        1998 12
82425 COARI                          1999 12
82586 QUIXERAMOBIM                   1997 12
82825 PORTO VELHO                    2002 12
83064 PORTO NACIONAL                 1997 12
83229 SALVADOR                       2005 5
83236 BARREIRAS                      1996 12
83236 BARREIRAS                      1995 1
83361 CUIABA                         1996 12
83498 CARAVELAS                      2005 5
83618 TRES LAGOAS                    2002 12
83618 TRES LAGOAS                    2001 12
83781 SAO PAULO                      2001 12
83781 SAO PAULO                      1997 12
83842 CURITIBA                       2005 5
83842 CURITIBA                       2004 12
83842 CURITIBA                       2002 12
83881 IRAI                           2000 12
83881 IRAI                           1995 1
84444 CHACHAPOYAS                    1999 12
84455 TARAPOTO                       2001 12
78767 PUERTO LIMON                   2003 12
78767 PUERTO LIMON                   2001 12
78767 PUERTO LIMON                   2000 12
78767 PUERTO LIMON                   1997 12
78897 LE RAIZET, GLP                 2003 12
78954 GRANTLEY ADAMS                 2003 12
78954 GRANTLEY ADAMS                 2001 12
80001 SAN ANDRES                     2002 12
80001 SAN ANDRES                     1999 12
80222 BOGOTA ELDORADO                2003 12
80222 BOGOTA ELDORADO                1996 12
80241 LAS GAVIOTAS                   2000 12
80241 LAS GAVIOTAS                   1997 12
80241 LAS GAVIOTAS                   1995 1
80423 GUIRIA                         2005 5
80425 MENE GRANDE                    2002 12
80425 MENE GRANDE                    2000 12
80425 MENE GRANDE                    1996 12
80438 MERIDA                         2004 12
80438 MERIDA                         2001 12
80438 MERIDA                         1998 12
80438 MERIDA                         1996 12
80450 SAN FERNANDO DE APURE          2003 12
80450 SAN FERNANDO DE APURE          1995 1
80453 TUMEREMO                       2003 12
80462 SANTA ELENA DE UAIREN          2003 12
81405 CAYENNE ROCHAMBEAU GUF         1999 12
82024 BOA VISTA                      1995 1
82106 SAO GABRIEL DA CACHOEIR        2005 5
82106 SAO GABRIEL DA CACHOEIR        2003 12
82331 MANAUS                         2003 12
72578 POCATELLO RGNL AP              1997 12
72578 POCATELLO RGNL AP              1995 1
72613 MT WASHINGTON                  1997 12
72613 MT WASHINGTON                  1996 12
72654 HURON AP                       2000 12
72654 HURON AP                       1999 12
72681 BOISE AIR TERMINAL             1999 12
72681 BOISE AIR TERMINAL             1995 1
72712 CARIBOU WFO                    1998 12
72743 MARQUETTE WSO AP               1999 12
72764 BISMARCK MUNI AP               1996 12
72772 HELENA AP ASOS                 2000 12
72772 HELENA AP ASOS                 1997 12
72792 OLYMPIA AP                     1999 12
74492 BLUE HILL                      1998 12
76393 MONTERREY, NL                  2002 12
76393 MONTERREY, NL                  1998 12
76393 MONTERREY, NL                  1996 12
76405 LA PAZ, BCS                    2004 12
76458 COLONIA JUAN CARRAS, SIN       2000 12
76577 GUANAJUATO, GTO                2005 5
76577 GUANAJUATO, GTO                1995 1
76644 MERIDA AP, YUC                 1995 1
76654 MANZANILLO, COL                2005 5
76680 MEXICO (CENTRAL), DF           1997 12
76680 MEXICO (CENTRAL), DF           1996 12
78073 NASSAU AIRPORT                 2003 12
72248 SHREVEPORT AP                  2001 12
72253 SAN ANTONIO INTL AP            1998 12
72266 ABILENE RGNL AP                2005 5
72266 ABILENE RGNL AP                2004 12
72278 PHOENIX AP                     2000 12
72290 SAN DIEGO WSO AP               1999 12
72290 SAN DIEGO WSO AP               1996 12
72304 CAPE HATTERAS AP               2001 12
72306 RALEIGH  AP                    1999 12
72312 GRNVL SPART INTL AP            2002 12
72312 GRNVL SPART INTL AP            2000 12
72324 CHATTANOOGA AP                 2000 12
72324 CHATTANOOGA AP                 1996 12
72344 FT SMITH RGNL AP               1998 12
72353 OKLAHOMA CITY WILL ROGERS AP   2003 12
72353 OKLAHOMA CITY WILL ROGERS AP   1997 12
72353 OKLAHOMA CITY WILL ROGERS AP   1996 12
72386 LAS VEGAS AP                   2004 12
72389 FRESNO YOSEMITE AP             1996 12
72405 WASHINGTON REAGAN AP           2005 5
72405 WASHINGTON REAGAN AP           1997 12
72422 LEXINGTON BLUEGRASS AP         2002 12
72432 EVANSVILLE REGIONAL AP         2001 12
72445 COLUMBIA RGNL AP               2004 12
72445 COLUMBIA RGNL AP               1996 12
72451 DODGE CITY RGNL AP             2001 12
72458 CONCORDIA BLOSSER MUNI         2003 12
72458 CONCORDIA BLOSSER MUNI         1998 12
72483 SACRAMENTO AP                  1995 1
72520 PITTSBURGH ASOS                1999 12
72546 DES MOINES AP                  2004 12
72546 DES MOINES AP                  2001 12
72546 DES MOINES AP                  1998 12
72546 DES MOINES AP                  1996 12
72556 NORFOLK AP                     2003 12
72556 NORFOLK AP                     2000 12
71831 KAPUSKASING A, ON              1998 12
71836 MOOSONEE A, ON                 1996 12
71842 SIOUX LOOKOUT A, ON            1995 1
71844 BIG TROUT LAKE RDC, ON         2002 12
71855 DAUPHIN A, MB                  1996 12
